rank,district,state,risk_score,dominant_hazard,dominant_hazard_score,explanation,recommendation,population_at_risk,children_under5_at_risk,adaptive_capacity,wash_sanitation_pct,wash_disruption_days
127,Alipurduar,West Bengal,6.01,flood,5.97,High flood hazard (6.0) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2032098,162566,0.0,0.0,47.8
128,Muzaffarpur,Bihar,5.99,flood,2.33,High flood hazard (2.3) compounded by poor sanitation (55%) and high population (9.4M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,9396547,1221553,0.71,55.2,85.8
129,Balrampur,Chhattisgarh,5.98,flood,3.98,High flood hazard (4.0) compounded by poor sanitation (60%) and high population (4.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4945750,581855,0.69,59.7,79.5
130,Sambhal,Uttar Pradesh,5.93,flood,4.07,High flood hazard (4.1) compounded by high population (3.5M) and low adaptive capacity.,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3548648,425837,0.755,72.8,90.5
131,Viluppuram,Tamil Nadu,5.92,flood,5.04,High flood hazard (5.0) compounded by poor sanitation (54%) and high population (4.4M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4434944,310448,0.835,53.8,126.0
132,Thane,Maharashtra,5.92,flood,5.69,High flood hazard (5.7) compounded by high population (8.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,8868819,753849,0.883,74.7,100.2
133,Kolasib,Mizoram,5.9,flood,4.64,High flood hazard (4.6).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,242870,22851,0.927,96.8,91.4
134,Gorakhpur,Uttar Pradesh,5.85,flood,4.15,High flood hazard (4.2) compounded by high population (6.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6354327,762518,0.802,69.6,79.2
135,Sindhudurg,Maharashtra,5.84,flood,4.9,High flood hazard (4.9) compounded by poor water access (73%) and high population (1.1M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1079871,86390,0.884,87.9,83.9
136,Palghar,Maharashtra,5.82,flood,5.34,High flood hazard (5.3) compounded by poor water access (91%) and high population (5.2M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,5203196,442273,0.853,75.1,90.1
137,Khagaria,Bihar,5.82,flood,2.83,High flood hazard (2.8) compounded by poor sanitation (65%) and high population (2.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2541175,330354,0.716,65.0,67.9
138,Kottayam,Kerala,5.81,flood,5.61,High flood hazard (5.6) compounded by high population (3.2M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3161145,205474,0.987,98.6,78.1
139,Meerut,Uttar Pradesh,5.8,flood,4.04,High flood hazard (4.0) compounded by high population (6.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6278398,753408,0.837,82.7,79.0
140,Hardoi,Uttar Pradesh,5.77,flood,4.11,High flood hazard (4.1) compounded by poor sanitation (56%) and high population (6.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,6453334,774399,0.697,55.7,89.2
141,North District,Sikkim,5.76,cold wave,4.38,High cold wave hazard (4.4).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,140111,9805,0.901,83.8,0.9
142,Bhagalpur,Bihar,5.76,flood,2.28,High flood hazard (2.3) compounded by poor sanitation (61%) and high population (4.8M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4765581,619525,0.729,60.9,71.9
143,Tapi,Gujarat,5.74,flood,4.83,High flood hazard (4.8) compounded by high population (1.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1289932,109643,0.842,70.2,67.4
144,Dibang Valley,Arunachal Pradesh,5.72,cold wave,4.76,High cold wave hazard (4.8).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,102372,9723,0.881,95.0,0.0
145,Saran,Bihar,5.72,flood,2.4,High flood hazard (2.4) compounded by poor sanitation (37%) and high population (5.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,5549668,721456,0.666,37.2,85.0
146,Navsari,Gujarat,5.68,flood,5.59,High flood hazard (5.6) compounded by high population (1.8M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1831554,155682,0.897,80.1,85.2
147,Thrissur,Kerala,5.67,flood,5.43,High flood hazard (5.4) compounded by high population (4.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4274253,277826,0.984,99.5,95.5
148,Ariyalur,Tamil Nadu,5.67,flood,4.4,High flood hazard (4.4) compounded by poor sanitation (55%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,684309,47902,0.826,54.6,123.8
149,Sambalpur,Odisha,5.64,flood,3.83,High flood hazard (3.8) compounded by poor sanitation (62%) and high population (1.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1686722,143372,0.803,62.4,78.5
150,Karbi Anglong West,Meghalaya,5.64,flood,5.41,High flood hazard (5.4) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,506365,55403,0.0,0.0,42.1
151,Sonitpur,Assam,5.63,flood,5.51,High flood hazard (5.5) compounded by poor water access (83%) and high population (2.1M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2058026,194581,0.796,72.2,38.2
152,Hapur,Uttar Pradesh,5.63,flood,3.8,High flood hazard (3.8) compounded by high population (1.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1857165,222859,0.841,85.6,85.3
153,Yamunanagar,Haryana,5.62,flood,4.65,High flood hazard (4.7) compounded by high population (1.8M) and groundwater stress (0.53).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1800427,192486,0.89,83.5,82.5
154,South Goa,Goa,5.6,flood,5.4,High flood hazard (5.4).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,674577,45686,0.951,88.2,100.9
155,Dohad,Madhya Pradesh,5.57,flood,4.65,High flood hazard (4.7) compounded by poor sanitation (36%) and poor water access (91%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3050315,315895,0.0,35.9,60.2
156,Mayurbhanj,Odisha,5.56,flood,3.78,High flood hazard (3.8) compounded by poor sanitation (54%) and poor water access (80%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3920361,333228,0.718,54.4,90.2
157,Dungarpur,Rajasthan,5.56,flood,3.56,High flood hazard (3.6) compounded by poor sanitation (60%) and high population (2.1M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2091851,233755,0.783,59.9,69.9
158,Gurdaspur,Punjab,5.56,flood,5.53,High flood hazard (5.5) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2090416,156782,0.0,0.0,86.9
159,North Goa,Goa,5.55,flood,5.21,High flood hazard (5.2) compounded by high population (1.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1295510,88416,0.945,87.7,83.3
160,Jorhat,Assam,5.55,flood,5.09,High flood hazard (5.1) compounded by poor water access (86%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,966416,89186,0.863,80.4,60.3
161,Raigarh,Chhattisgarh,5.54,flood,4.74,High flood hazard (4.7) compounded by poor water access (88%) and high population (7.7M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,7691478,665836,0.846,74.8,82.7
162,West Garo Hills,Meghalaya,5.52,flood,4.39,High flood hazard (4.4) compounded by poor water access (84%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,704487,67163,0.854,86.3,57.7
163,Basti,Uttar Pradesh,5.5,flood,4.12,High flood hazard (4.1) compounded by poor sanitation (64%) and high population (4.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4497645,539717,0.783,64.2,88.2
164,Biswanath,Assam,5.5,flood,5.5,High flood hazard (5.5) compounded by poor water access (76%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,958051,89128,0.787,76.6,41.9
165,Pathanamthitta,Kerala,5.47,flood,5.47,High flood hazard (5.5) compounded by high population (1.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1548217,100634,0.982,98.9,84.2
166,Lakhimpur,Assam,5.46,flood,5.19,High flood hazard (5.2) compounded by poor water access (81%) and high population (1.6M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1551529,147394,0.834,74.2,62.4
167,Bikaner,Rajasthan,5.45,drought,2.84,High drought hazard (2.8) compounded by high population (4.1M) and groundwater stress (1.00).,Diversify water sources; rainwater harvesting; demand management; MGNREGA drought works.,4093652,470770,0.82,79.8,52.2
168,Kishanganj,Bihar,5.45,flood,5.45,High flood hazard (5.5) compounded by poor sanitation (52%) and high population (3.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3211198,256895,0.698,52.4,82.5
169,West District,Sikkim,5.44,cold wave,3.9,High cold wave hazard (3.9) compounded by poor water access (90%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,45973,3287,0.91,88.9,1.0
170,Hugli,West Bengal,5.43,flood,4.52,High flood hazard (4.5) compounded by high population (9.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,9388945,751115,0.864,76.2,116.7
171,Baghpat,Uttar Pradesh,5.41,flood,3.46,High flood hazard (3.5) compounded by high population (2.4M) and groundwater stress (0.87).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2395167,287421,0.845,87.0,95.3
172,Bara Banki,Uttar Pradesh,5.4,flood,3.52,High flood hazard (3.5) compounded by poor sanitation (62%) and high population (5.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,5691481,682977,0.72,62.4,99.7
173,South Tripura,Tripura,5.4,flood,5.4,High flood hazard (5.4) compounded by poor water access (90%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,484678,38774,0.825,68.6,86.9
174,Kozhikode,Kerala,5.4,flood,5.35,High flood hazard (5.3) compounded by high population (3.8M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3808431,247547,0.983,99.6,66.8
175,Kollam,Kerala,5.4,flood,5.18,High flood hazard (5.2) compounded by high population (2.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2647093,172062,0.981,97.5,75.3
176,Dakshin Dinajpur,West Bengal,5.39,flood,5.39,High flood hazard (5.4) compounded by high population (2.7M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2734430,218753,0.86,79.0,90.9
177,Lohit,Arunachal Pradesh,5.37,flood,4.38,High flood hazard (4.4).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,138298,13138,0.855,83.7,30.7
178,Uttar Dinajpur,West Bengal,5.37,flood,5.37,High flood hazard (5.4) compounded by poor sanitation (64%) and high population (3.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3248472,259877,0.787,63.8,83.2
179,Munger,Bihar,5.35,flood,2.12,High flood hazard (2.1) compounded by poor sanitation (63%) and high population (2.6M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2566820,333687,0.767,62.8,47.0
180,Godda,Jharkhand,5.33,flood,2.61,High flood hazard (2.6) compounded by poor sanitation (55%) and high population (2.6M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2616248,340113,0.661,54.9,84.5
181,Malappuram,Kerala,5.33,flood,5.19,High flood hazard (5.2) compounded by high population (6.2M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6240236,405616,0.993,99.9,86.5
182,Kasaragod,Kerala,5.32,flood,5.32,High flood hazard (5.3) compounded by high population (1.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1353157,87956,0.976,98.9,73.1
183,Jalpaiguri,West Bengal,5.32,flood,5.29,High flood hazard (5.3) compounded by high population (3.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3585477,286838,0.843,73.2,53.9
184,Golaghat,Assam,5.3,flood,5.05,High flood hazard (5.0) compounded by high population (1.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1891764,170260,0.838,73.1,55.2
185,Firozpur,Punjab,5.29,wet-bulb heat,2.27,High wet-bulb heat hazard (2.3) compounded by high population (1.3M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1327622,99572,0.901,84.8,72.4
186,Kamle,Assam,5.29,landslide,3.53,High landslide hazard (3.5) compounded by poor water access (0%) and poor sanitation (0%).,Slope stabilisation; community early warning; pre-positioned rescue equipment.,65419,6215,0.0,0.0,0.3
187,Budaun,Uttar Pradesh,5.27,flood,3.36,High flood hazard (3.4) compounded by high population (5.1M) and groundwater stress (0.61).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5140314,616837,0.731,69.7,77.6
188,Anjaw,Arunachal Pradesh,5.27,cold wave,4.11,High cold wave hazard (4.1) compounded by poor water access (87%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,50123,4764,0.825,86.8,0.6
189,Khowai,Tripura,5.27,flood,5.27,High flood hazard (5.3) compounded by poor water access (83%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,483719,38698,0.821,67.8,94.4
190,West Tripura,Tripura,5.26,flood,5.26,High flood hazard (5.3) compounded by high population (1.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1097793,87823,0.891,80.2,92.4
191,Koch Bihar,West Bengal,5.25,flood,5.25,High flood hazard (5.2) compounded by high population (4.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4340311,347225,0.862,75.7,84.2
192,Kannur,Kerala,5.23,flood,5.23,High flood hazard (5.2) compounded by high population (2.7M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2731380,177539,0.984,99.5,78.0
193,North & Middle Andaman,Andaman & Nicobar Island,5.22,flood,5.22,High flood hazard (5.2).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,117594,8233,0.909,86.4,38.7
194,Thiruvananthapuram,Kerala,5.2,flood,5.2,High flood hazard (5.2) compounded by high population (4.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4929206,320397,0.97,95.4,27.7
195,Gomati,Tripura,5.18,flood,5.18,High flood hazard (5.2) compounded by poor water access (88%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,688307,55064,0.845,77.4,86.2
196,Karbi Anglong East,Nagaland,5.17,flood,4.31,High flood hazard (4.3) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1247281,112022,0.0,0.0,36.1
197,Dhalai,Tripura,5.16,flood,5.16,High flood hazard (5.2) compounded by poor water access (70%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,437523,35002,0.767,67.6,89.9
198,Patan,Gujarat,5.15,flood,3.44,High flood hazard (3.4) compounded by high population (1.7M) and groundwater stress (1.00).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1740179,147918,0.857,73.1,79.6
199,Bhavnagar,Gujarat,5.12,flood,3.24,High flood hazard (3.2) compounded by high population (3.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3450650,293304,0.844,72.9,83.6
200,Dakshina Kannada,Karnataka,5.12,flood,5.12,High flood hazard (5.1) compounded by poor water access (89%) and high population (2.9M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2918265,189688,0.958,97.1,98.0
201,Rajkot,Gujarat,5.11,flood,3.98,High flood hazard (4.0) compounded by high population (5.0M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5025205,427142,0.91,85.4,77.9
202,South Andaman,Andaman & Nicobar Island,5.11,flood,5.11,High flood hazard (5.1).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,164110,11488,0.94,89.3,22.2
203,Jajapur,Odisha,5.09,flood,3.68,High flood hazard (3.7) compounded by poor sanitation (47%) and high population (3.1M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3118197,265048,0.76,47.4,113.3
204,North Tripura,Tripura,5.07,flood,5.05,High flood hazard (5.0) compounded by poor water access (76%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,946985,76668,0.808,74.1,94.8
205,Harda,Madhya Pradesh,5.04,flood,3.91,High flood hazard (3.9).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,819226,90114,0.79,68.8,61.5
206,South West Garo Hills,Meghalaya,5.0,flood,5.0,High flood hazard (5.0) compounded by poor water access (59%) and low adaptive capacity.,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,47255,4490,0.749,71.4,87.7
207,Paschim Medinipur,West Bengal,4.97,flood,4.46,High flood hazard (4.5) compounded by poor sanitation (58%) and high population (8.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,8173459,656401,0.787,58.3,113.1
208,Maldah,West Bengal,4.96,flood,4.11,High flood hazard (4.1) compounded by poor sanitation (62%) and high population (5.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,5731973,458557,0.809,62.0,89.5
209,Barddhaman,West Bengal,4.95,flood,3.94,High flood hazard (3.9) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,7448386,595871,0.0,0.0,109.5
210,Subarnapur,Odisha,4.95,flood,3.86,High flood hazard (3.9) compounded by poor sanitation (67%) and high population (1.1M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1091921,92812,0.818,66.7,101.8
211,Bulandshahr,Uttar Pradesh,4.94,wet-bulb heat,3.03,High wet-bulb heat hazard (3.0) compounded by high population (5.3M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,5298429,635811,0.822,81.5,91.6
212,Hojai,Assam,4.94,flood,4.81,High flood hazard (4.8) compounded by poor sanitation (63%) and high population (1.6M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1624454,158618,0.816,63.1,69.8
213,Nicobars,Andaman And Nicobar Islands,4.94,flood,4.94,High flood hazard (4.9).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,37328,2612,0.925,83.5,10.7
214,Lower Siang,Assam,4.9,flood,4.15,High flood hazard (4.2) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,131670,12509,0.0,0.0,33.6
215,Thanjavur,Tamil Nadu,4.88,flood,3.8,High flood hazard (3.8) compounded by high population (3.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3112235,217857,0.916,79.6,140.2
216,Ghazipur,Uttar Pradesh,4.87,wet-bulb heat,2.14,High wet-bulb heat hazard (2.1) compounded by poor sanitation (64%) and high population (5.9M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,5864850,703783,0.785,64.1,88.5
217,Moga,Punjab,4.87,wet-bulb heat,3.86,High wet-bulb heat hazard (3.9) compounded by high population (1.4M) and groundwater stress (1.00).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1393768,104532,0.911,87.8,105.5
218,Kanpur Dehat,Uttar Pradesh,4.87,wet-bulb heat,2.29,High wet-bulb heat hazard (2.3) compounded by high population (2.9M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2875638,335940,0.782,70.6,74.6
219,Vaishali,Bihar,4.86,wet-bulb heat,1.79,High wet-bulb heat hazard (1.8) compounded by poor sanitation (53%) and high population (7.3M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,7304596,949598,0.715,52.6,84.4
220,Samastipur,Bihar,4.86,wet-bulb heat,2.56,High wet-bulb heat hazard (2.6) compounded by poor sanitation (49%) and high population (7.4M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,7356307,956321,0.694,48.8,83.8
221,Gautam Buddha Nagar,Uttar Pradesh,4.86,wet-bulb heat,3.61,High wet-bulb heat hazard (3.6) compounded by high population (6.0M) and groundwater stress (0.78).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,5965684,715882,0.827,74.0,81.5
222,Allahabad,Uttar Pradesh,4.85,wet-bulb heat,2.3,High wet-bulb heat hazard (2.3) compounded by poor sanitation (60%) and high population (9.6M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,9574235,1148907,0.0,59.5,78.5
223,Ballia,Uttar Pradesh,4.85,wet-bulb heat,1.97,High wet-bulb heat hazard (2.0) compounded by poor sanitation (62%) and high population (6.0M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,5990758,738895,0.769,61.7,82.8
224,Aligarh,Uttar Pradesh,4.85,wet-bulb heat,2.79,High wet-bulb heat hazard (2.8) compounded by high population (5.5M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,5479364,657525,0.785,69.4,86.6
225,Kanshiram Nagar,Uttar Pradesh,4.85,wet-bulb heat,2.52,High wet-bulb heat hazard (2.5) compounded by high population (2.1M) and low adaptive capacity.,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2056871,246825,0.751,69.8,76.7
226,Mansa,Punjab,4.85,wet-bulb heat,3.48,High wet-bulb heat hazard (3.5) compounded by high population (1.1M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1096832,98716,0.879,85.4,98.5
227,Etah,Uttar Pradesh,4.84,wet-bulb heat,2.83,High wet-bulb heat hazard (2.8) compounded by poor sanitation (63%) and high population (3.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3091935,371031,0.754,62.7,81.0
228,Jalor,Rajasthan,4.84,flood,2.08,High flood hazard (2.1) compounded by high population (3.0M) and groundwater stress (0.94).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2952600,333782,0.829,77.4,66.5
229,Azamgarh,Uttar Pradesh,4.84,flood,2.31,High flood hazard (2.3) compounded by high population (7.7M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,7653638,918438,0.826,72.8,92.3
230,Ambedkar Nagar,Uttar Pradesh,4.84,flood,3.53,High flood hazard (3.5) compounded by poor sanitation (64%) and high population (3.4M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3389475,406738,0.799,63.6,98.1
231,Jaunpur,Uttar Pradesh,4.84,wet-bulb heat,2.44,High wet-bulb heat hazard (2.4) compounded by poor sanitation (63%) and high population (6.2M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,6172274,740673,0.793,62.6,100.8
232,Mau,Uttar Pradesh,4.84,wet-bulb heat,2.52,High wet-bulb heat hazard (2.5) compounded by high population (3.6M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3613792,433656,0.825,75.1,91.7
233,Mahamaya Nagar,Uttar Pradesh,4.84,wet-bulb heat,2.06,High wet-bulb heat hazard (2.1) compounded by high population (2.9M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2943777,353254,0.788,73.3,66.0
234,New Delhi,NCT of Delhi,4.84,wet-bulb heat,3.03,High wet-bulb heat hazard (3.0) compounded by high population (8.7M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,8716521,1045983,0.825,69.4,62.3
235,Ghaziabad,Uttar Pradesh,4.84,flood,2.95,High flood hazard (3.0) compounded by high population (8.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,8581688,1029802,0.852,84.5,60.0
236,Panipat,Haryana,4.84,wet-bulb heat,3.1,High wet-bulb heat hazard (3.1) compounded by high population (1.8M) and groundwater stress (0.68).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1817308,173989,0.894,79.3,89.0
237,Banas Kantha,Gujarat,4.83,flood,3.39,High flood hazard (3.4) compounded by poor sanitation (54%) and high population (5.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4963989,421941,0.77,53.9,68.8
238,Farrukhabad,Uttar Pradesh,4.83,flood,3.03,High flood hazard (3.0) compounded by high population (2.9M) and low adaptive capacity.,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2888114,346574,0.765,72.6,65.8
239,Sonipat,Haryana,4.83,wet-bulb heat,2.78,High wet-bulb heat hazard (2.8) compounded by high population (3.0M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3028425,277770,0.921,86.7,84.2
240,Sultanpur,Uttar Pradesh,4.83,wet-bulb heat,2.72,High wet-bulb heat hazard (2.7) compounded by poor sanitation (65%) and high population (3.6M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3579350,429522,0.788,65.1,103.8
241,Buxar,Bihar,4.83,wet-bulb heat,2.81,High wet-bulb heat hazard (2.8) compounded by poor sanitation (52%) and high population (2.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2085684,253025,0.756,52.4,104.3
242,Faridabad,Haryana,4.83,wet-bulb heat,1.98,High wet-bulb heat hazard (2.0) compounded by high population (2.4M) and groundwater stress (0.59).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2384164,286099,0.862,84.2,65.1
243,South,NCT of Delhi,4.83,wet-bulb heat,2.59,High wet-bulb heat hazard (2.6) compounded by high population (3.2M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3230980,387718,0.874,83.8,78.2
244,North West,NCT of Delhi,4.83,wet-bulb heat,2.43,High wet-bulb heat hazard (2.4) compounded by high population (5.1M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,5127352,410188,0.872,70.2,53.2
245,South West,NCT of Delhi,4.83,wet-bulb heat,3.47,High wet-bulb heat hazard (3.5) compounded by high population (3.7M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3660795,439295,0.869,89.5,70.5
246,Bhojpur,Bihar,4.82,wet-bulb heat,2.39,High wet-bulb heat hazard (2.4) compounded by poor sanitation (46%) and high population (4.7M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4722464,613920,0.711,45.9,89.7
247,Begusarai,Bihar,4.82,wet-bulb heat,1.68,High wet-bulb heat hazard (1.7) compounded by poor sanitation (62%) and high population (5.6M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,5589527,726637,0.744,62.2,67.5
248,Jind,Haryana,4.82,wet-bulb heat,2.99,High wet-bulb heat hazard (3.0) compounded by high population (1.9M) and groundwater stress (0.58).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1938373,174453,0.917,88.5,88.5
249,Kanpur Nagar,Uttar Pradesh,4.81,wet-bulb heat,2.37,High wet-bulb heat hazard (2.4) compounded by high population (6.2M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,6186330,742359,0.826,77.5,75.6
250,Rohtak,Haryana,4.81,wet-bulb heat,2.87,High wet-bulb heat hazard (2.9) compounded by high population (1.8M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1811578,163041,0.93,90.0,90.3
251,Palwal,Haryana,4.81,wet-bulb heat,2.44,High wet-bulb heat hazard (2.4) compounded by high population (1.9M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1940927,232911,0.806,80.3,81.3
